title,date,link,article
'반려동물 보유세 도입 찬성' 댓글에 '공감' 비중 높아,5시간 전,http://www.bigtanews.co.kr/news/articleView.html?idxno=11637, 보유세까지 내라고(공감 88) 차라리 운전면허 처럼 애완동물은 동물에 대한 기본 지식.. 응가 뒷처리..학대시 처벌 등..필수교육 과정 수료 한 사람만 키우게 하세요(공감 84) 막 던져보고 조용하면 진행 시끄러우면... 
"반려동물의 나라 영국, 물가 치솟자 반려동물 유기 급증",7일 전,http://kids.donga.com/news/vv.php?type=news&id=20220818111533264184, 영국 일간 데일리메일 등 외신은 “생활비가 치솟으면서 현금이 부족해진 영국인들이 그들의 가족인 애완동물을 포기하고 있다”면서 “40년 만의 기록적인 물가 상승에 동물보호센터에는 개와 고양이 등 버려진 동물... 
"WHO, 원숭이두창 사람-동물간 전염 주의해야",7일 전,https://www.news1.kr/articles/4776086, 그러면서 전문가들은 이런 감염사례가 급증할 수 있다는 이론적 위험을 알고 있으며 공중 보건기관은 이미 확진된 사람들을 애완동물로부터 격리하라고 조언했다고 전했다. 그는 폐기물 관리는 집 밖의 설치류 및 기타... 
"""원숭이두창 감염 의심 반려동물도 격리돼야""-美 CDC",2022.08.17.,https://www.news1.kr/articles/4774859, 질병관리본부는 반려동물은 담요나 환자들이 사용하는 다른 생활용품을 통해 바이러스를 옮길 수도 있으며 애완동물이 아픈 것으로 보이면 주인은 수의사에게 연락해야 한다고 제언했다. CDC는 12일자에 웹사이트에 올린... 
"스테이션블록, 유튜브 '단희TV'와 반려동물 공간 표준화 위해 협업 나서",6일 전,http://www.mhns.co.kr/news/articleView.html?idxno=532794," 또한 반려동물을 가족처럼 여기는 반려인을 '펫펨족(Pet+Family)이라 부르고', 반려동물을 반려인 자신의 분신으로 여긴다는 의미를 가진 '펫미족(Pet+Me)' 등의 신조어는 더 이상 반려동물이 '애완동물'이 아닌 반려인과 함께... "
[책&생각] 동물해방 없이 여성해방은 가능한가,6일 전,https://www.hani.co.kr/arti/culture/book/1055353.html," 반면 저자는 당시까지 독자에게 낯설다는 이유로 책에서 ‘반려동물’ 대신 ‘애완동물(펫)’이라는 표현을 썼는데, 지금은 반려동물이라는 말이 보편화됐다. 이 책의 일부 주장이 여전히 급진적이거나 비현실적으로... "
"반려 동물도 이젠 헌혈…건국대, 아시아 최초 ‘KU 아임도그너 헌혈센터’ 개소",4일 전,http://news.heraldcorp.com/view.php?ud=20220821000023, 이날 개소식에서 현대자동차는 동물병원에 응급 의료시설을 갖춘 애완동물 앰뷸런스를 기부했다. 병원의 응급환자 이송과 헌혈견 및 보호자의 이동을 지원할 예정이다. 건국대 관계자는 “반려동물의 수술과 치료에... 
"동물 사랑하는 수험생, 반려동물학과 가려면",2022.08.08.,https://weekly.donga.com/3/all/11/3554833/1, 애완동물학과에서 명칭을 바꾸거나 없던 관련 학과를 신설한 대학도 꽤 된다. 일부 4년제를 제외하면 대부분 2년제다. 여기에 전문직업학교까지 더하면 교육기관은 늘어난다. “반려동물이 좋다는 이유로 ‘반려동물’... 
"CDC, 원숭이두창 애완견 통해 감염 가능 우려...""감염자 애완동물 격리""",2022.08.16.,http://www.pinpointnews.co.kr/news/articleView.html?idxno=136074," 개와 고양이와 같은 애완동물의 감염은 이전에 보고된 적이 없다. 연구자들은 랜싯에 발표된 연구에서 ""우리가 아는 한, 두 환자와 개에서 나타나는 증상 발병의 동역학은 원숭이 두창 바이러스의 사람에서 개의 전염을... "
'멸종 위기 두점박이사슴벌레' 애완용 길 열리나,2022.08.10.,http://daily.hankooki.com/news/articleView.html?idxno=858349, 산업곤충연구소의 이번 기술 연구는 △새로운 애완‧학습용 곤충 발굴 △최적의 사육 기술 확보 및 농가 보급 △애완동물 시장에서의 새로운 소득 창출 등을 위해 추진 중이다. 이를 위해 산업곤충연구소는 지난해... 
"스테이션블록, 유튜브 '단희TV'와 반려동물 공간 표준화 위해 협업 나서",6일 전,http://www.mhns.co.kr/news/articleView.html?idxno=532794," 또한 반려동물을 가족처럼 여기는 반려인을 '펫펨족(Pet+Family)이라 부르고', 반려동물을 반려인 자신의 분신으로 여긴다는 의미를 가진 '펫미족(Pet+Me)' 등의 신조어는 더 이상 반려동물이 '애완동물'이 아닌 반려인과 함께... "
