title,date,link,article
K팝스타♥반려동물 '우리집 상전' 9월 2일 첫 방송,5시간 전,http://www.newsis.com/view/?id=NISX20220825_0001990851&cID=10601&pID=10600, 최윤정 인턴 기자 = 본격 반려동물 자랑 예능 프로그램 '우리집 상전'(연출 김영민)이 오는 9월 2일 처음 방송된다. '우리집 상전'은 케이팝 스타와 반려동물이 함께 하는 동물 예능 프로그램이다. 케이팝 스타가... 
"""강아지 키우려면 세금 내라?""...반려동물 보유세에 '찬성' 54% vs '반대' 28% [민심 레이더]",12시간 전,https://www.mk.co.kr/economy/view/2022/751226, '보수'성향 응답자 반대 49%...가장 많아 최근 정부가 '반려동물 보유세' 도입을 검토하는 대국민 설문을 진행하다 하루 만에 취소하는 일이 발생했습니다. 지난 8월 18일 농림축산식품부는 '반려동물 관리 방안'에 대한... 
"스페셜/진화하는 펫테크, 반려동물 친밀도 'UP'",8시간 전,https://magazine.hankyung.com/money/article/202208181985c," 스페셜/ 반려동물 1000만 시대, '펫테크'가 뜬다 ‘왈왈왈~왈’, ‘니야아옹~~’. 멍감님(9세 강아지)과 냥춘기(중성화를 끝낸 사춘기 고양이)를 함께 키우고 있는 ‘딩펫족'(아이를 낳지 않고 반려동물을 자식처럼 키우는... "
커지는 반려동물 영양제·치료제 시장,2일 전,https://weekly.donga.com/3/all/11/3582397/1," 주요 제약사, 펫용 관절·장 영양제 등 출시… 대학 연계 신약 개발도 반려동물을 키우는 인구가 늘면서 반려동물용 영양제·치료제 시장도 커지고 있다. 반려동물을 가족 구성원으로 여기는 이가 증가한 것도 영향이고... "
"갤러리아백화점, 배우 김효진 등과 협업해 동물복지 NFT 발행",12시간 전,https://biz.chosun.com/distribution/channel/2022/08/25/UP3SIP2AIZDL7GW6WC22RNYG2Y/?utm_source=naver&utm_medium=original&utm_campaign=biz," 매거진이 배우 김효진이 함께 촬영한 화보에 김혜정 작가의 일러스트를 결합해 디지털 콘텐츠로 제작했으며, 생명의 존엄성·실험동물·야생동물·공장식 축산·반려동물에 대한 메시지를 담은 것이 특징이다.... "
주인 잃은 반려동물‥야외활동 늘며 2배 급증,1일 전,https://imnews.imbc.com/replay/2022/nwtoday/article/6401037_35752.html," [김영진/자원봉사자] ""사전 지식 없이 그냥 키우는 것보다는, 살고 있는 내 집이라든지 주위 환경이 반려동물을 키우는데 과연 적합한가 아닌가(를 따져봐야합니다.)"" 올해 강원도는 지난해보다 3배 많은 11억 7천여만... "
"반려동물 1000만 시대, ‘펫테크’가 뜬다",8시간 전,https://magazine.hankyung.com/money/article/202208181977c," 스페셜 반려동물 1000만 시대, '펫테크'가 뜬다 최근 반려동물의 배변 검출물로 건강 상태를 체크하고 울음소리로 감정을 인식하는 등 펫테크(pet-tech: pet+technology)가 반려인들의 눈길을 사로잡고 있다. 이들은... "
인플레로 반려동물 지출 줄이나?..펫코 실적 부진,22시간 전,https://www.hankyung.com/economy/article/202208245881i," 반려동물 식품 및 용품 판매사 펫코 헬스(WOOF)는 월가 추정치에 못미치는 실적과 가이던스하향을 발표하고 이 날 주가가 급락했다. . 사진 = CNBC 24일(현지시간) 마켓워치에 따르면, 펫코 헬스 앤드 웰니즈 는 이... "
"프랑스, 휴가철에 버려지는 반려동물",1일 전,https://news.kbs.co.kr/news/view.do?ncd=5540478&ref=A," 반려동물 유기는 특히 매년 여름철 반복되고 있습니다. [오렐리/이블린 동물보호센터 팀장 : ""입양이 이뤄지지 않아서 비는 곳이 없습니다. 동물들은 계속 보호소로 입소되는데 나가는 동물들이 없으니 큰 문제입니다.... "
"고성군, 하반기 동물병원 운영실태 점검 실시",9시간 전,https://www.viva100.com/main/view.php?key=20220825010006488," 이번 점검은 지난달 5일부터 시행된 개정 수의사법의 첫 조치인 ‘반려동물의 수술 등 중대 진료에 관한 사전 설명 및 서면 동의 의무화’ 이행 여부와 전반적인 운영실태를 점검하며, 지역 내 동물병원 11개소 전체를... "
