title,date,link,article
"스페셜/진화하는 펫테크, 반려동물 친밀도 'UP'",7시간 전,https://magazine.hankyung.com/money/article/202208181985c," 스페셜/ 반려동물 1000만 시대, '펫테크'가 뜬다 ‘왈왈왈~왈’, ‘니야아옹~~’. 멍감님(9세 강아지)과 냥춘기(중성화를 끝낸 사춘기 고양이)를 함께 키우고 있는 ‘딩펫족'(아이를 낳지 않고 반려동물을 자식처럼 키우는... "
"[마켓인]오에스피, 증권신고서 제출…펫푸드 기업 첫 상장",4시간 전,http://www.edaily.co.kr/news/newspath.asp?newsid=03348886632430928, 유기농 반려동물 펫푸드 전문 제조업체 오에스피가 증권신고서를 제출하고 코스닥 상장 절차에... 오에스피는 지난 2004년 설립돼 반려동물 펫푸드 제조를 주요 사업으로 영위하고 있다. 2019년에는 동물약품 전문... 
"""반려견과 함께 걸어요"" 강릉 바우길에 펫 구간 3.1㎞ 개통",2일 전,https://www.yna.co.kr/view/AKR20220823067200062?input=1195m, 바우길 일반 구간 17개 코스 가운데 3개의 산책로를 펫 산책 구간으로 정했다. 첫 번째 코스는 바우길 5구간... 펫 구간에는 올바른 반려문화 정착 및 청결한 산책 환경 조성을 위해 배변 봉투함과 안내 세움 간판을... 
[스타트업 리뷰] 입맛 까다로운 반려동물 입맛도 사로잡는 건강 펫푸드 ‘푸티’,9시간 전,https://www.donga.com/news/article/all/20220825/115139422/1," 펫푸드 스타트업인 PSF는 이 향미제를 핵심 소재로 활용해 펫푸드 시장에 도전하고 있는 스타트업이다. PSF는 미역, 다시마 등 해조류에서 ‘고기 맛’을 내는 아미노산 복합체를 추출하는 기술을 지닌 대체육 소재... "
"펫스타일러, 여름철 진드기 위험 증가에 따른 재고 추가 확보",6시간 전,http://www.beyondpost.co.kr/view.php?ud=20220825150619194067114f971d_30," ㈜디자이너스랩(대표 강태욱)은 자사가 개발, 판매 중인 반려동물용 원적외선 진드기 제거 브러시 펫스타일... 위해 펫스타일러를 찾는 수요가 증가한 것으로 보고 있다. 진드기와 같은 문제는 반려동물 피해 뿐만 아니라... "
"반려동물 1000만 시대, ‘펫테크’가 뜬다",7시간 전,https://magazine.hankyung.com/money/article/202208181977c," 스페셜 반려동물 1000만 시대, '펫테크'가 뜬다 최근 반려동물의 배변 검출물로 건강 상태를 체크하고 울음소리로 감정을 인식하는 등 펫테크(pet-tech: pet+technology)가 반려인들의 눈길을 사로잡고 있다. 이들은... "
롯데마트 제타플렉스·보틀벙커…레드닷 디자인 어워드 수상,13시간 전,http://news.mt.co.kr/mtview.php?no=2022082508252747086," 필두로 '와인', '리빙', '펫', '식료품'의 구색을 강화한 전문 매장으로 구성했다. '보틀벙커'는 '와인의 모든... '콜리올리'는 롯데마트의 '펫토탈케어' 전문 스토어, 브랜드다. 기존 펫스토어가 반려동물 식품·용품... "
커지는 반려동물 영양제·치료제 시장,2일 전,https://weekly.donga.com/3/all/11/3582397/1," 주요 제약사, 펫용 관절·장 영양제 등 출시… 대학 연계 신약 개발도 반려동물을 키우는 인구가 늘면서... 지난해 대웅은 반려동물 의약품과 의료서비스 분야에 진출하고자 대웅펫을 자회사로 편입했다. 대웅펫은... "
"강릉시, 바우길 일부 구간 ‘펫 산책로’ 조성",1일 전,https://news.kbs.co.kr/news/view.do?ncd=5540307&ref=A," 강릉 바우길 일부 구간을 반려동물과 함께 걷을 수 있는 펫 산책로가 조성됩니다. 강릉시는 안목 입구에서 송정해변 쉼터까지 1.1km 구간 등 바우길 3개 구간을 펫 산책로로 정해, 목줄을 한 중·소형견과 시각 장애인... "
반려동물 가구 600만 시대…펫 산업 활성화에 업계·전문가 머리 맞대,4일 전,http://www.newsis.com/view/?id=NISX20220819_0001984715&cID=10401&pID=10400," 농림축산식품부는 22일 대전의 한 호텔에서 '펫 휴머니제이션 시대, 반려동물 산업의 미래와 전망'을 주제로... 전망 ▲국내외 펫푸드 산업동향과 발전방향 ▲반려동물 건강관리 산업동향 및 발전방안 등을 주제로... "
