title,date,link,article
내달 1일부터 제주도에 전자여행허가제…불법체류 엄단,6시간 전,http://www.newsis.com/view/?id=NISX20220826_0001991527&cID=10201&pID=10200, 1일부터 제주도에 전자여행허가제(K-ETA)를 도입한다. 법무부는 그간 제주도와 관광협회 등 유관기관의 의견을 수렴해 9월1일부터 제주도에 전자여행허가제를 도입한다고 26일 밝혔다. 이번 조치는 지난 2002년 제주도에... 
10명 중 5명 추석연휴에 여행간다…여행지 1위는 '이곳',2일 전,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202208240144&t=NN," 올해 추석 연휴 가장 떠나고 싶은 여행지로 제주도가 꼽혔다. 제주항공은 자사 인스타그램을 통해 추석 연휴 국내외 여행계획을 묻는 설문조사를 진행한 결과, 응답자 4천118명 중 2천56명(49.9%)이 제주도를... "
"호텔·항공권 예약, 경비관리도 척척…앱깔고 '알뜰여행'",20시간 전,http://www.newsis.com/view/?id=NISX20220825_0001990969&cID=13001&pID=13000, 국내 인기 여행지인 제주도만 해도 성수기 렌터카 비용이 천정부지로 치솟아 부르는 게 값일 정도다. 조금 더 알뜰한 휴가를 보내기 위해 여행 관련 서비스에 대한 관심도 높아지고 있다. 숙소·모빌리티 등의 이용권을... 
"제주도, 문화누리카드 1인당 '10만원→11만원' 상향 지원",1일 전,http://www.jejusori.net/news/articleView.html?idxno=406992," 제주특별자치도가 다음 달 1일부터 문화예술·여행·체육활동을 지원하는 문화누리카드의 지원금을... 오성율 제주도 문화체육대외협력국장은 ""이번 문화누리카드 1만원 증액은 전국 지자체 동일하게 추진되는... "
요가하고 명상하고…여행지에서 '웰니스' 한다,23시간 전,https://www.mk.co.kr/economy/view/2022/734324, ‘오션뷰 요가클래스’ ‘숲속 프라이빗 요가’ ‘그림 명상’ 등 제주의 특색을 살린 70여개의 웰니스 여행 상품을 선보였다. 제주도에 따르면 기획전 오픈 이후 한 달간 총 800여건의 상품이 판매됐다. 웰니스 여행... 
'올해 추석 연휴 가장 떠나고 싶은 여행지는?'…국내외 여행계획 물었다,23시간 전,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=4830534," 올해 추석 연휴에 가장 떠나고 싶은 여행지로 제주도가 꼽혔습니다. 어제(24일) 제주항공에 따르면 자사 인스타그램을 통해 추석 연휴 국내외 여행계획을 묻는 설문조사를 진행한 결과, 응답자 4천118명 중... "
"""렌터카 비용만 100만원"" 여행객은 손떨지만…제주 렌터카 총량 유지될 듯",20시간 전,http://news.mk.co.kr/newsRead.php?no=754017&year=2022," 이에 일부 제주 여행객은 항공기가 아닌 선박을 이용해 제주도로 향하기도 한다. 배에 자차를 실을 수 있기 때문이다. 유일한 인천-제주 여객선인 비욘드 트러스트호의 중형차 기준 선적 요금은 20만원 수준으로, 지난달... "
"""제주도·마라도·우도 여행을 한번에""…여행의 창구, '도도도 힐링투어' 선보여",23시간 전,http://www.datanet.co.kr/news/articleView.html?idxno=175861," 여행객이 가장 선호하는 국내 여행지인 제주도와 대한민국의 끝이자 시작이며, 뛰어난 해안 절경과 독특한 섬풍경이 아름다운 마라도, 검은 모래와 푸른빛의 바다가 독특한 경치로 이루어져 있으며 관광객들에게 인기... "
올해 추석도 제주도가 답? 10명 중 5명은 연휴에 떠난다는데,1일 전,http://news.mk.co.kr/newsRead.php?no=752335&year=2022, 여행 비중 국내 41% 해외 9%…여전히 국내 수요 높아 항공사 여름휴가 수요 기대 이하…추석 프로모션 활발 예년보다 보름 정도 이른 이번 추석엔 10명 중 5명은 국내외로 여행을 떠날 것으로 보인다. 고물가와... 
제주도 바가지 논란에도 인천공항 썰렁했던 이유는?,1일 전,https://news.kbs.co.kr/news/view.do?ncd=5541070&ref=A," 올해만큼은 해외 여행이 정상화될 것으로 예측됐지만, 결과는 달랐습니다. 국내 유명 관광지와 휴양지는 여전히 북적였습니다. 특히 제주도나 부산 등에 피서객들이 많이 찾으면서 렌터카 빌리는 데 하루 최대 20만 원... "
