iter	Passed	Remaining
0	171	171386
1	182	91240
2	193	64300
3	203	50647
4	214	42779
5	225	37377
6	232	32953
7	243	30177
8	261	28740
9	274	27152
10	288	25962
11	301	24844
12	313	23765
13	326	23006
14	337	22164
15	348	21425
16	359	20796
17	370	20195
18	381	19715
19	394	19315
20	405	18915
21	417	18542
22	430	18291
23	442	17992
24	454	17710
25	467	17505
26	480	17333
27	497	17264
28	513	17188
29	525	16988
30	536	16784
31	548	16583
32	560	16411
33	573	16295
34	587	16210
35	602	16126
36	616	16057
37	630	15957
38	644	15882
39	659	15828
40	675	15807
41	690	15748
42	709	15784
43	728	15828
44	741	15731
45	753	15635
46	769	15602
47	782	15510
48	794	15418
49	806	15320
50	818	15226
51	829	15130
52	842	15051
53	854	14964
54	866	14891
55	878	14815
56	891	14755
57	906	14720
58	918	14652
59	930	14576
60	941	14495
61	953	14427
62	965	14358
63	976	14279
64	988	14221
65	1000	14157
66	1011	14089
67	1023	14030
68	1036	13985
69	1048	13932
70	1060	13873
71	1073	13833
72	1086	13803
73	1103	13811
74	1116	13770
75	1127	13710
76	1140	13667
77	1151	13616
78	1164	13574
79	1175	13523
80	1188	13485
81	1201	13446
82	1213	13407
83	1224	13358
84	1238	13330
85	1250	13288
86	1262	13245
87	1274	13209
88	1287	13178
89	1300	13153
90	1319	13182
91	1332	13155
92	1345	13119
93	1355	13069
94	1368	13039
95	1381	13006
96	1393	12969
97	1404	12929
98	1417	12904
99	1430	12872
100	1442	12836
101	1453	12800
102	1465	12766
103	1477	12730
104	1491	12714
105	1503	12681
106	1517	12662
107	1534	12676
108	1547	12650
109	1559	12618
110	1570	12581
111	1583	12554
112	1595	12523
113	1607	12493
114	1619	12464
115	1633	12446
116	1645	12419
117	1657	12391
118	1670	12365
119	1682	12336
120	1695	12314
121	1708	12293
122	1721	12273
123	1733	12244
124	1747	12233
125	1760	12212
126	1772	12184
127	1784	12155
128	1796	12128
129	1809	12111
130	1824	12100
131	1836	12078
132	1847	12044
133	1859	12019
134	1872	11998
135	1884	11971
136	1895	11942
137	1908	11919
138	1921	11899
139	1934	11885
140	1946	11856
141	1961	11851
142	1974	11833
143	1985	11805
144	1997	11776
145	2009	11756
146	2035	11813
147	2046	11783
148	2059	11760
149	2072	11741
150	2083	11715
151	2094	11685
152	2107	11664
153	2121	11652
154	2132	11627
155	2144	11603
156	2159	11595
157	2173	11583
158	2185	11559
159	2197	11536
160	2208	11509
161	2221	11492
162	2234	11472
163	2246	11452
164	2258	11429
165	2271	11412
166	2283	11392
167	2294	11364
168	2306	11339
169	2317	11314
170	2328	11287
171	2340	11266
172	2352	11243
173	2363	11220
174	2377	11209
175	2389	11188
176	2402	11170
177	2415	11153
178	2426	11130
179	2437	11106
180	2449	11083
181	2462	11065
182	2473	11041
183	2485	11023
184	2497	11003
185	2510	10986
186	2522	10965
187	2534	10946
188	2547	10932
189	2560	10916
190	2572	10898
191	2587	10887
192	2602	10880
193	2613	10859
194	2625	10840
195	2637	10819
196	2650	10802
197	2662	10785
198	2674	10765
199	2686	10746
200	2699	10729
201	2710	10708
202	2722	10687
203	2733	10665
204	2745	10648
205	2758	10634
206	2770	10611
207	2782	10594
208	2798	10591
209	2812	10580
210	2824	10562
211	2836	10541
212	2847	10522
213	2859	10503
214	2871	10483
215	2882	10464
216	2895	10448
217	2908	10433
218	2920	10416
219	2932	10397
220	2946	10387
221	2960	10375
222	2974	10365
223	2989	10354
224	3003	10347
225	3020	10343
226	3033	10329
227	3049	10324
228	3066	10324
229	3086	10332
230	3102	10327
231	3117	10320
232	3131	10308
233	3144	10293
234	3156	10276
235	3169	10260
236	3182	10244
237	3195	10230
238	3208	10217
