예찰일자,발생해역,적조생물,밀도(개체수/mL)
2017-08-28,전남 완도군 약산,Mesodinium rubrum,1800~1800
2017-08-23,보성군 회천~ 안양면 수문~ 관산읍 장환,Prorodon sp.,500~800
2017-08-18,경남 고성군 고성만,Chaetoceros spp.,3000~4000
2017-08-14,전남 돌산 동안∼경남 통영 사량∼수우도,Alexandrium sp.,5~35
2017-08-14,"경남 통영 산양 오비, 학림",Alexandrium sp.,200~400
2017-08-14,전남 여수해역(육상예찰),Alexandrium sp.,0~0
2017-08-12,전남 여수 백야도 ∼개도,Alexandrium sp.,0~
2017-08-12,거제 저구해역,Alexandrium sp.,5000~
2017-08-12,경남 통영 오비 내측,Alexandrium sp.,350~
2017-08-12,경남 남해 미조,Alexandrium sp.,2000~3000
2017-08-11,"전남 여수 개도, 돌산 동안, 금오도",Alexandrium sp.,2~597
2017-08-11,"경남 통영 오비도~곤리도, 명지~함박, 학림",Alexandrium sp.,450~7000
2017-08-11,"경남 남해 서면, 남면, 미조, 창선",Alexandrium sp.,5000~11500
2017-08-10,전남 여수 돌산 동안해역,Alexandrium sp.,20~2500
2017-08-10,"경남 통영 오비도, 곤리도, 명지~함박",Alexandrium sp.,500~15000
2017-08-10,"경남 남해 남면, 미조, 창선",Alexandrium sp.,400~11000
2017-08-09,경남 통영 산양해역,Alexandrium sp.,310~4000
2017-08-09,"경남 남해 서면~남면, 미조, 창선",Alexandrium sp.,400~4000
2017-08-07,"경남 통영시 학림~연명, 곤리도",Alexandrium sp.,900~1500
2017-07-28,경남 통영 곤리도 ~ 학림해역,Chaetoceros spp.,5000~6000
2017-07-12,전남 고흥군 득량만,Chattonella marina,70~350
2017-06-28,부산시 가덕도,Ceratium furca,200~200
2017-06-27,부산광역시 수영구 광안리해수욕장,Pyramimonas sp.,0~0
2017-05-25,부산광역시 강서구 신호항 안쪽,Heterosigma akashiwo,29000~30000
2017-05-04,울산광역시 동구 범월갑 외측 해역,Noctiluca sp.,2000~2500
2017-04-03,부산시 기장군 이천리 해역,Scrippsiella trochoidea,18000~18000
2018-12-04,경남 통영시 영운리,Akashiwo sanguinea,800~1000
2018-10-19,경남 거제시,Mesodinium rubrum,260~480
2018-09-28,전남 완도군,Mesodinium rubrum,2000~3500
2018-09-22,전남 장흥군,Mesodinium rubrum,1000~4000
2018-09-20,전남 신안군 흑산면,Noctiluca sp.,1500~1532
2018-09-17,전남 완도군 소안면,Gymnodinium sp.,300~300
2018-09-20,전남 완도군 청산도 동측,Mesodinium rubrum,900~1200
2018-09-18,전남 완도군 망석리,Mesodinium rubrum,600~700
2018-09-15,전남 완도군 금일읍 장도,Noctiluca sp.,5000~8000
2018-09-20,전남 여수시 삼산면 거문도 ,Gymnodinium catenatum,870~870
2018-09-19,경북 울진군 후포항,Noctiluca sp.,0~0
2018-08-09,"전남 여수시 돌산동안, 월호~화태",Cochlodinium polykrikoides,90~930
2018-08-08,"전남 여수시 돌산동안, 월호~화태~함구미해역",Cochlodinium polykrikoides,10~960
2018-08-08,경남 고성군 하이면,Cochlodinium polykrikoides,400~500
2018-08-07,"전남 여수시 돌산동안, 월호∼화태∼함구미해역",Cochlodinium polykrikoides,5~950
2018-08-07,경남 거제시 동부면 율포,Cochlodinium polykrikoides,760~930
2018-08-07,경남 통영시 산양∼사량,Cochlodinium polykrikoides,10~350
2018-08-07,경남 고성군 하이면,Cochlodinium polykrikoides,700~800
2018-08-07,경남 남해군 창선∼하동 해역함구미해역,Cochlodinium polykrikoides,120~600
2018-08-06,경남 사천시∼하동군 해역,Cochlodinium polykrikoides,20~200
