예찰일자,발생해역,적조생물,밀도(개체수/mL)
2017-07-28,통영,Chaetoceros spp.,6000
2017-08-07,통영,Alexandrium sp.,1500
2017-08-09,통영,Alexandrium sp.,4000
2017-08-10,통영,Alexandrium sp.,15000
2017-08-11,통영,Alexandrium sp.,7000
2017-08-12,거제,Alexandrium sp.,5000
2017-08-12,통영,Alexandrium sp.,350
2017-08-14,통영,Alexandrium sp.,35
2017-08-14,통영,Alexandrium sp.,400
2018-07-31,통영,Cochlodinium polykrikoides,700
2018-08-01,통영,Cochlodinium polykrikoides,1000
2018-08-01,거제,Cochlodinium polykrikoides,700
2018-08-02,거제,Cochlodinium polykrikoides,560
2018-08-02,통영,Cochlodinium polykrikoides,1200
2018-08-03,통영,Cochlodinium polykrikoides,1000
2018-08-04,통영,Cochlodinium polykrikoides,700
2018-08-05,통영,Cochlodinium polykrikoides,500
2018-08-06,통영,Cochlodinium polykrikoides,350
2018-08-07,거제,Cochlodinium polykrikoides,930
2018-08-07,통영,Cochlodinium polykrikoides,350
2018-10-19,거제,Mesodinium rubrum,480
2018-12-04,통영,Akashiwo sanguinea,1000
2019-09-03,통영,Cochlodinium polykrikoides,800
2019-09-04,통영,Cochlodinium polykrikoides,20
2019-09-05,통영,Cochlodinium polykrikoides,50
2019-09-06,통영,Cochlodinium polykrikoides,500
2019-09-08,통영,Cochlodinium polykrikoides,1200
2019-09-09,통영,Cochlodinium polykrikoides,1500
2019-09-09,거제,Cochlodinium polykrikoides,1500
2019-09-09,통영,Cochlodinium polykrikoides,4500
2019-09-10,통영,Cochlodinium polykrikoides,6000
2019-09-10,거제,Cochlodinium polykrikoides,3616
2019-09-11,통영,Cochlodinium polykrikoides,3200
2019-09-11,거제,Cochlodinium polykrikoides,100
2019-09-12,통영,Cochlodinium polykrikoides,1640
2019-09-12,거제,Cochlodinium polykrikoides,1640
2019-09-12,통영,Cochlodinium polykrikoides,3040
2019-09-13,통영,Cochlodinium polykrikoides,6400
2019-09-13,통영,Cochlodinium polykrikoides,1440
2019-09-13,거제,Cochlodinium polykrikoides,1440
2019-09-14,통영,Cochlodinium polykrikoides,7300
2019-09-14,거제,Cochlodinium polykrikoides,1536
2019-09-15,통영,Cochlodinium polykrikoides,5200
2019-09-15,거제,Cochlodinium polykrikoides,1408
2019-09-16,거제,Cochlodinium polykrikoides,3800
2019-09-16,통영,Cochlodinium polykrikoides,4800
2019-09-17,거제,Cochlodinium polykrikoides,1000
2019-09-17,통영,Cochlodinium polykrikoides,5800
2019-09-18,통영,Cochlodinium polykrikoides,1500
2019-09-18,거제,Cochlodinium polykrikoides,500
2019-09-19,통영,Cochlodinium polykrikoides,700
2019-09-19,거제,Cochlodinium polykrikoides,1120
2019-09-20,통영,Cochlodinium polykrikoides,800
2019-09-20,거제,Cochlodinium polykrikoides,360
2019-10-10,통영,Skeletonema sp.,1500
2020-01-30,통영,Akashiwo sanguinea,450
2020-07-17,거제,Ceratium furca,1100
2020-07-23,통영,Ceratium furca,185
2020-07-24,통영,Ceratium sp.,10
2020-07-24,통영,Ceratium furca,130
2020-07-27,통영,Ceratium furca,250
2020-07-27,통영,Ceratium furca,700
2020-07-29,통영,Ceratium furca,2090
2020-07-31,통영,Ceratium furca,2140
2020-07-31,통영,Ceratium furca,2100
2020-08-03,통영,Ceratium furca,640
2020-08-04,통영,Ceratium furca,850
2020-08-05,통영,Ceratium furca,200
2020-08-05,통영,Ceratium furca,800
2020-08-07,통영,Ceratium furca,500
2020-08-11,통영,Ceratium furca,100
2020-08-12,통영,Ceratium furca,380
2020-08-14,통영,Ceratium furca,500
2020-10-13,통영,Cochlodinium polykrikoides,56
2020-10-16,통영,Cochlodinium polykrikoides,180
2020-10-23,통영,Cochlodinium polykrikoides,40
2020-10-24,통영,Cochlodinium polykrikoides,40
2020-10-26,통영,Cochlodinium polykrikoides,50
2020-10-27,통영,Cochlodinium polykrikoides,100
2020-10-28,통영,Cochlodinium polykrikoides,80
2020-10-29,통영,Cochlodinium polykrikoides,150
2020-10-30,통영,Cochlodinium polykrikoides,90
2020-10-31,통영,Cochlodinium polykrikoides,100
2021-05-21,거제,Akashiwo sanguinea,4000
2021-08-27,통영,Cochlodinium polykrikoides,0
2021-11-01,통영,Mesodinium rubrum,50
2022-06-15,통영,Akashiwo sanguinea,190
2022-06-22,통영,Akashiwo sanguinea,230
2022-08-31,통영,Cochlodinium polykrikoides,270
2022-09-08,통영,Cochlodinium polykrikoides,1
2022-09-10,통영,Cochlodinium polykrikoides,0
2022-09-13,통영,Cochlodinium polykrikoides,1
2022-09-20,통영,Cochlodinium polykrikoides,900
2022-09-21,통영,Cochlodinium polykrikoides,1
2022-09-22,통영,Cochlodinium polykrikoides,1
2022-09-23,통영,Cochlodinium polykrikoides,1
2022-09-24,통영,Cochlodinium polykrikoides,1
2022-09-25,통영,Cochlodinium polykrikoides,1
