연도,시군구별,연료별,용도별,승용,승합,화물,특수,계
2005,종로구,CNG,비사업용,0,3,2,0,5
2005,종로구,CNG,사업용,0,77,0,0,77
2005,종로구,경유,비사업용,6938,3297,6039,58,16332
2005,종로구,경유,사업용,1224,819,390,59,2492
2005,종로구,기타연료,비사업용,5,8,4,2,19
2005,종로구,기타연료,사업용,0,1,79,0,80
2005,종로구,엘피지,비사업용,2251,1229,578,0,4058
2005,종로구,엘피지,사업용,2624,3,57,0,2684
2005,종로구,휘발유,비사업용,9536,28,45,0,9609
2005,종로구,휘발유,사업용,3683,5,0,0,3688
2005,종로구,휘발유(무연),비사업용,23971,93,50,0,24114
2005,종로구,휘발유(무연),사업용,2663,0,0,0,2663
2005,종로구,휘발유(유연),비사업용,2,0,0,0,2
2005,중구,CNG,비사업용,0,4,1,0,5
2005,중구,CNG,사업용,0,7,0,0,7
2005,중구,경유,비사업용,6425,2563,6033,84,15105
2005,중구,경유,사업용,145,153,1066,65,1429
2005,중구,기타연료,비사업용,8,0,15,8,31
2005,중구,기타연료,사업용,0,0,133,0,133
2005,중구,엘피지,비사업용,2026,1241,572,1,3840
2005,중구,엘피지,사업용,379,4,92,0,475
2005,중구,휘발유,비사업용,8258,20,25,0,8303
2005,중구,휘발유,사업용,257,1,0,0,258
2005,중구,휘발유(무연),비사업용,20400,81,46,0,20527
2005,중구,휘발유(무연),사업용,262,0,0,0,262
2005,중구,휘발유(유연),비사업용,1,0,0,0,1
2005,용산구,CNG,비사업용,0,2,6,0,8
2005,용산구,경유,비사업용,7899,2704,7692,23,18318
2005,용산구,경유,사업용,19,141,998,41,1199
2005,용산구,기타연료,비사업용,1253,4,47,1,1305
2005,용산구,기타연료,사업용,0,0,42,1,43
2005,용산구,등유,비사업용,1,1,0,0,2
2005,용산구,엘피지,비사업용,3135,1740,743,0,5618
2005,용산구,엘피지,사업용,784,2,90,0,876
2005,용산구,휘발유,비사업용,11400,25,58,0,11483
2005,용산구,휘발유,사업용,86,0,0,0,86
2005,용산구,휘발유(무연),비사업용,32244,125,85,0,32454
2005,용산구,휘발유(무연),사업용,99,0,0,0,99
2005,용산구,휘발유(유연),비사업용,6,0,0,0,6
2005,성동구,CNG,비사업용,0,1,0,0,1
2005,성동구,CNG,사업용,0,23,0,0,23
2005,성동구,경유,비사업용,11442,3500,11126,44,26112
2005,성동구,경유,사업용,25,297,1616,64,2002
2005,성동구,기타연료,비사업용,6,0,6,0,12
2005,성동구,기타연료,사업용,0,0,34,0,34
2005,성동구,엘피지,비사업용,5316,2402,1076,0,8794
2005,성동구,엘피지,사업용,2347,0,314,2,2663
2005,성동구,휘발유,비사업용,9794,14,31,2,9841
2005,성동구,휘발유,사업용,69,0,0,0,69
2005,성동구,휘발유(무연),비사업용,38276,71,63,1,38411
2005,성동구,휘발유(무연),사업용,69,0,0,0,69
2005,성동구,휘발유(유연),비사업용,2,0,0,0,2
2005,광진구,CNG,비사업용,0,1,0,0,1
2005,광진구,경유,비사업용,11901,3972,10508,27,26408
2005,광진구,경유,사업용,15,224,1069,14,1322
2005,광진구,기타연료,비사업용,4,0,3,1,8
2005,광진구,엘피지,비사업용,5484,2654,1056,0,9194
2005,광진구,엘피지,사업용,2088,0,202,0,2290
2005,광진구,휘발유,비사업용,10234,14,35,0,10283
2005,광진구,휘발유,사업용,3,0,0,0,3
2005,광진구,휘발유(무연),비사업용,40344,79,58,0,40481
2005,광진구,휘발유(무연),사업용,10,0,2,0,12
2005,광진구,휘발유(유연),비사업용,1,0,0,0,1
2005,동대문구,CNG,비사업용,0,1,4,0,5
2005,동대문구,경유,비사업용,11793,4117,11702,44,27656
2005,동대문구,경유,사업용,6,174,1989,20,2189
2005,동대문구,기타연료,비사업용,4,2,3,2,11
2005,동대문구,기타연료,사업용,0,0,8,0,8
2005,동대문구,엘피지,비사업용,5761,2643,1299,0,9703
2005,동대문구,엘피지,사업용,2539,0,334,1,2874
2005,동대문구,휘발유,비사업용,9620,13,41,0,9674
2005,동대문구,휘발유,사업용,4,0,0,0,4
2005,동대문구,휘발유(무연),비사업용,35678,71,61,0,35810
2005,동대문구,휘발유(무연),사업용,19,0,0,0,19
2005,동대문구,휘발유(유연),비사업용,1,0,0,0,1
2005,중랑구,CNG,비사업용,0,0,2,0,2
2005,중랑구,CNG,사업용,0,364,0,0,364
2005,중랑구,경유,비사업용,12339,4760,12925,36,30060
2005,중랑구,경유,사업용,44,630,2261,94,3029
2005,중랑구,기타연료,비사업용,4,1,2,1,8
2005,중랑구,기타연료,사업용,0,35,4,0,39
2005,중랑구,엘피지,비사업용,6937,3029,1446,0,11412
2005,중랑구,엘피지,사업용,5413,0,365,7,5785
2005,중랑구,전기,비사업용,0,1,0,0,1
2005,중랑구,휘발유,비사업용,10076,25,34,0,10135
2005,중랑구,휘발유,사업용,33,0,0,0,33
2005,중랑구,휘발유(무연),비사업용,38434,96,59,0,38589
2005,중랑구,휘발유(무연),사업용,17,0,1,0,18
2005,중랑구,휘발유(유연),비사업용,1,0,0,0,1
2005,성북구,CNG,비사업용,1,1,0,0,2
2005,성북구,CNG,사업용,0,223,0,0,223
2005,성북구,경유,비사업용,13882,4566,10425,29,28902
2005,성북구,경유,사업용,46,657,1446,2,2151
2005,성북구,기타연료,비사업용,5,1,8,1,15
2005,성북구,기타연료,사업용,0,19,0,0,19
2005,성북구,엘피지,비사업용,7032,3121,1218,0,11371
2005,성북구,엘피지,사업용,2798,0,316,0,3114
2005,성북구,휘발유,비사업용,11230,20,37,0,11287
2005,성북구,휘발유,사업용,10,0,0,0,10
2005,성북구,휘발유(무연),비사업용,45152,100,60,0,45312
2005,성북구,휘발유(무연),사업용,16,0,1,0,17
2005,성북구,휘발유(유연),비사업용,3,0,0,0,3
2005,강북구,CNG,비사업용,0,0,2,0,2
2005,강북구,CNG,사업용,0,57,0,0,57
2005,강북구,경유,비사업용,9020,3522,8434,18,20994
2005,강북구,경유,사업용,37,706,1213,4,1960
2005,강북구,기타연료,비사업용,0,0,1,0,1
2005,강북구,기타연료,사업용,0,4,0,0,4
2005,강북구,알코올,비사업용,0,0,1,0,1
2005,강북구,엘피지,비사업용,5568,2394,1102,0,9064
2005,강북구,엘피지,사업용,2669,4,303,0,2976
2005,강북구,휘발유,비사업용,7464,14,27,0,7505
2005,강북구,휘발유,사업용,8,0,0,0,8
2005,강북구,휘발유(무연),비사업용,29317,63,41,0,29421
2005,강북구,휘발유(무연),사업용,8,0,2,0,10
2005,강북구,휘발유(유연),비사업용,2,0,0,0,2
2005,도봉구,CNG,비사업용,0,5,0,0,5
2005,도봉구,CNG,사업용,0,285,0,0,285
2005,도봉구,경유,비사업용,11673,3878,9395,17,24963
2005,도봉구,경유,사업용,27,277,1128,29,1461
2005,도봉구,기타연료,비사업용,2,0,7,1,10
2005,도봉구,기타연료,사업용,0,0,3,0,3
2005,도봉구,엘피지,비사업용,6394,2819,1025,0,10238
2005,도봉구,엘피지,사업용,5568,2,221,0,5791
2005,도봉구,휘발유,비사업용,9232,14,20,0,9266
2005,도봉구,휘발유,사업용,9,0,0,0,9
2005,도봉구,휘발유(무연),비사업용,41144,76,57,0,41277
2005,도봉구,휘발유(무연),사업용,10,0,2,0,12
2005,도봉구,휘발유(유연),비사업용,2,0,0,0,2
2005,노원구,CNG,비사업용,2,0,0,0,2
2005,노원구,CNG,사업용,0,100,0,0,100
2005,노원구,경유,비사업용,19626,5934,12815,31,38406
2005,노원구,경유,사업용,10,630,1736,9,2385
2005,노원구,기타연료,비사업용,7,1,4,1,13
2005,노원구,기타연료,사업용,0,0,5,0,5
2005,노원구,엘피지,비사업용,11407,4449,1453,0,17309
2005,노원구,엘피지,사업용,6517,0,309,0,6826
2005,노원구,휘발유,비사업용,15455,20,39,0,15514
2005,노원구,휘발유,사업용,10,0,0,0,10
2005,노원구,휘발유(무연),비사업용,70433,109,65,0,70607
2005,노원구,휘발유(무연),사업용,6,0,2,0,8
2005,노원구,휘발유(유연),비사업용,3,1,0,0,4
2005,은평구,CNG,비사업용,0,3,3,0,6
2005,은평구,CNG,사업용,0,378,0,0,378
2005,은평구,경유,비사업용,13127,5042,12213,35,30417
2005,은평구,경유,사업용,14,468,1769,57,2308
2005,은평구,기타연료,비사업용,3,0,2,2,7
2005,은평구,기타연료,사업용,0,0,1,1,2
2005,은평구,엘피지,비사업용,7215,3402,1289,0,11906
2005,은평구,엘피지,사업용,3717,0,216,2,3935
2005,은평구,휘발유,비사업용,12505,30,40,0,12575
2005,은평구,휘발유,사업용,4,0,0,0,4
2005,은평구,휘발유(무연),비사업용,46243,107,78,0,46428
2005,은평구,휘발유(무연),사업용,9,0,3,0,12
2005,은평구,휘발유(유연),비사업용,2,0,0,0,2
2005,서대문구,CNG,비사업용,0,2,0,0,2
2005,서대문구,CNG,사업용,0,103,0,0,103
2005,서대문구,경유,비사업용,10318,3470,8121,15,21924
2005,서대문구,경유,사업용,4,274,1790,37,2105
2005,서대문구,기타연료,비사업용,5,0,1,0,6
2005,서대문구,기타연료,사업용,0,10,14,0,24
2005,서대문구,알코올,사업용,1,0,0,0,1
2005,서대문구,엘피지,비사업용,4966,2300,894,0,8160
2005,서대문구,엘피지,사업용,2705,0,179,0,2884
2005,서대문구,휘발유,비사업용,9160,19,32,0,9211
