기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2021.4/4,합계,합계,"4,426,007","9,736,027","4,721,977","5,014,050","9,509,458","4,618,040","4,891,418","226,569","103,937","122,632",2.15,"1,605,416"
2021.4/4,종로구,소계,"73,494","153,789","74,186","79,603","144,683","70,183","74,500","9,106","4,003","5,103",1.97,"27,818"
2021.4/4,종로구,사직동,"4,696","9,636","4,353","5,283","9,372","4,200","5,172",264,153,111,2,"1,774"
2021.4/4,종로구,삼청동,"1,229","2,739","1,302","1,437","2,456","1,168","1,288",283,134,149,2,625
2021.4/4,종로구,부암동,"4,265","9,782","4,686","5,096","9,579","4,570","5,009",203,116,87,2.25,"1,802"
2021.4/4,종로구,평창동,"7,509","18,329","8,542","9,787","18,152","8,457","9,695",177,85,92,2.42,"3,435"
2021.4/4,종로구,무악동,"3,069","8,297","3,856","4,441","8,259","3,841","4,418",38,15,23,2.69,"1,424"
2021.4/4,종로구,교남동,"4,458","10,203","4,716","5,487","10,046","4,634","5,412",157,82,75,2.25,"1,624"
2021.4/4,종로구,가회동,"1,991","4,194","1,939","2,255","4,088","1,884","2,204",106,55,51,2.05,865
2021.4/4,종로구,종로1.2.3.4가동,"5,247","8,595","4,956","3,639","7,197","4,251","2,946","1,398",705,693,1.37,"1,960"
2021.4/4,종로구,종로5·6가동,"3,385","5,476","2,922","2,554","5,089","2,720","2,369",387,202,185,1.5,"1,057"
2021.4/4,종로구,이화동,"4,298","7,705","3,598","4,107","7,231","3,419","3,812",474,179,295,1.68,"1,360"
2021.4/4,종로구,창신1동,"2,823","5,631","3,006","2,625","4,891","2,626","2,265",740,380,360,1.73,"1,231"
2021.4/4,종로구,창신2동,"4,043","9,051","4,631","4,420","7,911","4,082","3,829","1,140",549,591,1.96,"1,752"
2021.4/4,종로구,창신3동,"2,798","6,733","3,341","3,392","6,575","3,242","3,333",158,99,59,2.35,"1,201"
2021.4/4,종로구,숭인1동,"2,970","6,106","2,916","3,190","5,837","2,811","3,026",269,105,164,1.97,"1,192"
2021.4/4,종로구,숭인2동,"6,285","10,175","5,031","5,144","9,639","4,848","4,791",536,183,353,1.53,"1,656"
2021.4/4,종로구,청운효자동,"5,241","12,177","5,630","6,547","11,978","5,526","6,452",199,104,95,2.29,"2,165"
2021.4/4,종로구,혜화동,"9,187","18,960","8,761","10,199","16,383","7,904","8,479","2,577",857,"1,720",1.78,"2,695"
2021.4/4,중구,소계,"63,519","131,787","64,083","67,704","122,499","59,630","62,869","9,288","4,453","4,835",1.93,"24,392"
2021.4/4,중구,소공동,"1,296","3,367","1,708","1,659","2,250","1,077","1,173","1,117",631,486,1.74,292
2021.4/4,중구,회현동,"2,748","5,432","2,822","2,610","4,784","2,488","2,296",648,334,314,1.74,"1,373"
2021.4/4,중구,명동,"1,539","3,742","1,678","2,064","2,884","1,262","1,622",858,416,442,1.87,764
2021.4/4,중구,필동,"2,479","4,679","2,354","2,325","4,023","2,045","1,978",656,309,347,1.62,901
2021.4/4,중구,장충동,"2,750","5,301","2,678","2,623","4,590","2,351","2,239",711,327,384,1.67,861
2021.4/4,중구,광희동,"3,390","6,340","3,236","3,104","5,255","2,688","2,567","1,085",548,537,1.55,"1,123"
2021.4/4,중구,을지로동,"1,345","1,914","1,130",784,"1,738","1,048",690,176,82,94,1.29,472
2021.4/4,중구,신당5동,"5,387","10,708","5,198","5,510","10,363","5,051","5,312",345,147,198,1.92,"1,824"
2021.4/4,중구,황학동,"7,088","13,444","6,377","7,067","12,576","5,997","6,579",868,380,488,1.77,"2,034"
2021.4/4,중구,중림동,"5,671","12,351","6,140","6,211","12,035","5,985","6,050",316,155,161,2.12,"2,077"
2021.4/4,중구,신당동,"4,729","9,095","4,400","4,695","7,673","3,782","3,891","1,422",618,804,1.62,"1,471"
2021.4/4,중구,다산동,"6,886","14,274","6,912","7,362","13,798","6,712","7,086",476,200,276,2,"2,762"
2021.4/4,중구,약수동,"7,834","16,889","7,861","9,028","16,676","7,750","8,926",213,111,102,2.13,"3,823"
2021.4/4,중구,청구동,"6,287","13,818","6,552","7,266","13,588","6,438","7,150",230,114,116,2.16,"2,721"
2021.4/4,중구,동화동,"4,090","10,433","5,037","5,396","10,266","4,956","5,310",167,81,86,2.51,"1,894"
2021.4/4,용산구,소계,"111,036","237,285","115,085","122,200","222,953","107,210","115,743","14,332","7,875","6,457",2.01,"39,070"
2021.4/4,용산구,후암동,"8,465","17,308","8,444","8,864","16,833","8,211","8,622",475,233,242,1.99,"3,026"
2021.4/4,용산구,용산2가동,"5,247","10,775","5,280","5,495","9,456","4,569","4,887","1,319",711,608,1.8,"2,041"
2021.4/4,용산구,남영동,"5,189","7,825","4,717","3,108","7,351","4,471","2,880",474,246,228,1.42,"1,543"
2021.4/4,용산구,원효로2동,"5,985","13,875","6,526","7,349","13,751","6,478","7,273",124,48,76,2.3,"2,302"
2021.4/4,용산구,효창동,"4,375","10,156","4,801","5,355","10,037","4,748","5,289",119,53,66,2.29,"1,489"
2021.4/4,용산구,용문동,"5,377","11,985","5,726","6,259","11,863","5,675","6,188",122,51,71,2.21,"2,148"
2021.4/4,용산구,이촌1동,"9,542","26,632","12,532","14,100","25,893","12,119","13,774",739,413,326,2.71,"4,342"
2021.4/4,용산구,이촌2동,"3,693","8,374","3,916","4,458","8,303","3,889","4,414",71,27,44,2.25,"1,793"
2021.4/4,용산구,이태원1동,"3,628","8,126","4,232","3,894","6,392","3,110","3,282","1,734","1,122",612,1.76,"1,393"
