2015년 ~ 2021년도 12월말 기준 시군구별 용도별 차종별 연료별 등록 현황,,,,,,
연월,사용본거지시군구,시군구코드,용도,차종종별,연료,건수
202012,서울특별시 종로구,11110,관용,승용,휘발유,155
202012,서울특별시 종로구,11110,관용,화물,경유,330
202012,서울특별시 종로구,11110,관용,화물,기타연료,3
202012,서울특별시 종로구,11110,관용,특수,기타연료,2
202012,서울특별시 종로구,11110,자가용,화물,휘발유,71
202012,서울특별시 종로구,11110,자가용,특수,기타연료,8
202012,서울특별시 종로구,11110,영업용,승용,엘피지,221
202012,서울특별시 종로구,11110,영업용,승용,전기,5
202012,서울특별시 종로구,11110,영업용,승용,휘발유(무연),196
202012,서울특별시 종로구,11110,영업용,화물,기타연료,82
202012,서울특별시 중구,11140,관용,승용,엘피지,15
202012,서울특별시 중구,11140,관용,승용,전기,124
202012,서울특별시 중구,11140,관용,승합,CNG,2
202012,서울특별시 중구,11140,자가용,승용,휘발유(유연),12
202012,서울특별시 중구,11140,자가용,승용,수소,27
202012,서울특별시 중구,11140,영업용,승용,하이브리드(휘발유+전기),238
202012,서울특별시 용산구,11170,관용,승용,휘발유,12
202012,서울특별시 용산구,11170,관용,화물,엘피지,14
202012,서울특별시 용산구,11170,자가용,승용,전기,412
202012,서울특별시 용산구,11170,자가용,승용,하이브리드(LPG+전기),26
202012,서울특별시 용산구,11170,자가용,승합,엘피지,331
202012,서울특별시 용산구,11170,자가용,승합,기타연료,36
202012,서울특별시 용산구,11170,영업용,승용,전기,2
202012,서울특별시 용산구,11170,영업용,화물,엘피지,73
202012,서울특별시 성동구,11200,관용,승용,휘발유,5
202012,서울특별시 성동구,11200,관용,승용,수소,1
202012,서울특별시 성동구,11200,자가용,승용,휘발유(무연),28510
202012,서울특별시 종로구,11110,자가용,승용,CNG,9
202012,서울특별시 종로구,11110,자가용,승용,하이브리드(경유+전기),16
202012,서울특별시 종로구,11110,자가용,승용,기타연료,1
202012,서울특별시 종로구,11110,자가용,특수,경유,44
202012,서울특별시 종로구,11110,영업용,승합,엘피지,2
202012,서울특별시 종로구,11110,영업용,특수,경유,54
202012,서울특별시 중구,11140,관용,승용,휘발유(무연),31
202012,서울특별시 중구,11140,자가용,승용,휘발유,11035
202012,서울특별시 중구,11140,자가용,승합,휘발유,14
202012,서울특별시 중구,11140,자가용,화물,엘피지,365
202012,서울특별시 중구,11140,영업용,승용,휘발유,118
202012,서울특별시 중구,11140,영업용,승용,하이브리드(경유+전기),1
202012,서울특별시 용산구,11170,관용,승용,엘피지,1
202012,서울특별시 용산구,11170,관용,승합,기타연료,1
202012,서울특별시 용산구,11170,자가용,화물,경유,4864
202012,서울특별시 용산구,11170,영업용,승용,경유,123
202012,서울특별시 용산구,11170,영업용,승용,휘발유(무연),82
202012,서울특별시 성동구,11200,관용,승합,엘피지,12
202012,서울특별시 성동구,11200,관용,승합,CNG,1
202012,서울특별시 성동구,11200,관용,특수,경유,17
202012,서울특별시 성동구,11200,자가용,승용,엘피지,3889
