기준연월,사용본거지시읍면동_행정동기준,차명,연료,최초등록일,현소유자의출생년도
2015-12,서울특별시 서초구 잠원동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-11-25,1985
2015-12,서울특별시 서초구 잠원동,K5 하이브리드,하이브리드(휘발유+전기),2012-10-10,1981
2015-12,서울특별시 서초구 잠원동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-07-10,1962
2015-12,서울특별시 서초구 잠원동,BMW i8,하이브리드(휘발유+전기),2015-08-28,
2015-12,서울특별시 서초구 잠원동,K5 하이브리드,하이브리드(휘발유+전기),2011-10-11,1960
2015-12,서울특별시 서초구 잠원동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2015-01-06,1980
2015-12,서울특별시 서초구 잠원동,K7 하이브리드,하이브리드(휘발유+전기),2015-04-30,1944
2015-12,서울특별시 서초구 잠원동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-07-10,1977
2015-12,서울특별시 서초구 잠원동,K7 하이브리드,하이브리드(휘발유+전기),2015-02-25,1966
2015-12,서울특별시 서초구 잠원동,토요타 Camry Hybrid,하이브리드(휘발유+전기),2014-09-19,1956
2015-12,서울특별시 서초구 잠원동,렉서스 ES300h,하이브리드(휘발유+전기),2013-05-31,1955
2015-12,서울특별시 성동구 금호1가동,포르테 하이브리드,하이브리드(LPG+전기),2010-09-01,1983
2015-12,서울특별시 성동구 금호1가동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-01-28,1970
2015-12,서울특별시 성동구 금호1가동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-11-27,1967
2015-12,서울특별시 성동구 금호2.3가동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-11-14,1977
2015-12,서울특별시 성동구 금호2.3가동,렉서스 LS600hL,하이브리드(휘발유+전기),2007-12-31,1948
2015-12,서울특별시 성동구 금호2.3가동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-08-29,1975
2015-12,서울특별시 성동구 금호4가동,토요타 PRIUS,하이브리드(휘발유+전기),2013-05-16,1973
2015-12,서울특별시 성동구 금호4가동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-11-14,1983
2015-12,서울특별시 성동구 금호4가동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-09-28,1958
2015-12,서울특별시 성동구 마장동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-07-19,1979
2015-12,서울특별시 성동구 마장동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-04-24,1959
2015-12,서울특별시 성동구 마장동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2010-11-12,1953
2015-12,서울특별시 성동구 마장동,K5 하이브리드,하이브리드(휘발유+전기),2013-04-08,1982
2015-12,서울특별시 성동구 사근동,PRIUS(하이브리드),하이브리드(휘발유+전기),2005-11-22,
2015-12,서울특별시 성동구 사근동,BMW i3,전기,2015-07-31,1981
2015-12,서울특별시 성동구 성수1가1동,토요타 PRIUS,하이브리드(휘발유+전기),2012-08-10,
2015-12,서울특별시 성동구 성수1가1동,씨티앤티 이존(e-ZONE),전기,2010-07-01,1958
2015-12,서울특별시 성동구 성수1가1동,S400 하이브리드 L,하이브리드(휘발유+전기),2010-08-24,1950
2015-12,서울특별시 성동구 성수1가1동,블루온 (BLUEON),전기,2011-12-28,
2015-12,서울특별시 성동구 성수1가1동,렉서스 RX450h,하이브리드(휘발유+전기),2010-12-30,1958
2015-12,서울특별시 성동구 성수1가2동,토요타 PRIUS,하이브리드(휘발유+전기),2015-03-05,
2015-12,서울특별시 성동구 성수1가2동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-07-17,1982
