월,유가
12년07,694.5810173160174
12년08,748.4347826086956
12년09,751.7428684210527
12년10,720.2148418972332
12년11,692.1285281385282
12년12,685.5664444444443
13년01,703.9779148629149
13년02,735.8284307992203
13년03,711.0298333333334
13년04,698.9880303030303
13년05,694.522888888889
13년06,711.937
13년07,745.7517786561266
13년08,758.9054090909091
13년09,741.2515634920634
13년10,706.1414229249012
13년11,684.8461666666667
13년12,700.2223809523808
14년01,683.8346248196249
14년02,706.4491228070175
14년03,701.8286746031746
14년04,689.5088888888889
14년05,681.0830526695527
14년06,694.973492063492
14년07,677.2221277997365
14년08,648.0469841269842
14년09,623.2332323232323
14년10,575.1634848484849
14년11,533.8143859649123
14년12,423.3933333333334
15년01,326.27911111111115
15년02,380.5017807017544
15년03,371.88651515151514
15년04,395.6530158730159
15년05,429.43771428571426
15년06,430.07326839826834
15년07,391.2588998682477
15년08,343.4262155388471
15년09,347.24525324675324
15년10,340.7348484848485
15년11,314.9958174603175
15년12,273.08818181818185
16년01,227.99384210526316
16년02,237.18660693400167
16년03,282.02712121212124
16년04,296.98650793650796
16년05,340.03344155844155
16년06,356.28015151515154
16년07,321.11302380952384
16년08,315.90635704874836
16년09,315.37341269841266
16년10,354.13730158730164
16년11,333.05029581529584
16년12,394.28047619047624
17년01,401.0625238095238
17년02,393.36185087719304
17년03,365.02405797101454
17년04,373.4533333333333
17년05,355.6199458351632
17년06,329.6280735930736
17년07,340.8958650793651
17년08,356.2021673254282
17년09,377.462373015873
17년10,392.33037518037514
17년11,417.87384559884566
17년12,418.0263333333333
18년01,444.9326479076479
18년02,431.5683157894737
18년03,432.1206349206349
18년04,462.04126984126987
18년05,499.72259865738124
18년06,496.1504126984127
18년07,514.6757070707071
18년08,503.67323671497587
18년09,531.9859210526316
18년10,546.604347826087
18년11,445.3467821067821
18년12,386.01372222222227
19년01,401.9878715728716
19년02,432.5075321637427
19년03,455.27333333333337
19년04,493.97015873015874
19년05,496.7165298952255
19년06,442.41754385964913
19년07,456.0347233201581
19년08,439.8325909090909
19년09,452.55495238095244
19년10,429.85593544137026
19년11,444.90555555555557
19년12,468.0087301587302
20년01,452.82445165945165
20년02,401.0535087719298
20년03,249.34469696969697
20년04,163.71809523809526
20년05,235.44285978835978
20년06,304.12166666666667
20년07,319.99155279503105
20년08,326.9440238095238
20년09,303.8949350649351
20년10,293.11000000000007
20년11,301.3354841269841
20년12,337.7981818181818
21년01,373.2020614035088
21년02,424.8496842105264
21년03,456.1140579710145
21년04,445.5985714285714
21년05,470.72655513784457
21년06,508.7122727272727
21년07,526.8730230880232
21년08,505.3907720057721
21년09,537.3002525252526
21년10,611.691746031746
21년11,594.6174314574315
21년12,545.2546376811594
22년01,631.1932857142857
22년02,698.8674044834307
22년03,848.4597101449275
22년04,802.3106666666666
22년05,876.7871383002962
22년06,921.8771933621933
