기간,Dubai,Brent,WTI
12년07월02일,679.03,705.26,606.80
12년07월03일,685.49,724.27,630.60
12년07월04일,697.73,716.40,
12년07월05일,699.52,719.09,622.83
12년07월06일,697.62,701.91,603.69
12년07월09일,692.84,718.33,615.72
12년07월10일,692.76,703.97,602.94
12년07월11일,693.40,720.65,616.97
12년07월12일,698.33,727.33,619.45
12년07월13일,703.98,737.99,627.73
12년07월16일,715.82,749.93,640.43
12년07월17일,728.04,750.70,644.01
12년07월18일,725.65,756.36,646.39
12년07월19일,736.61,773.11,664.53
12년07월20일,740.45,765.08,654.86
12년07월23일,714.76,740.88,632.39
12년07월24일,724.20,746.06,638.43
12년07월25일,724.17,753.77,642.49
12년07월26일,727.45,761.98,647.10
12년07월27일,736.44,768.26,650.36
12년07월30일,734.05,761.44,643.71
12년07월31일,728.24,749.82,629.33
12년08월01일,720.18,755.25,633.72
12년08월02일,721.52,751.09,617.97
12년08월03일,728.43,774.57,649.86
12년08월06일,746.71,782.50,658.57
12년08월07일,751.14,793.58,663.70
12년08월08일,757.77,795.14,661.91
12년08월09일,,803.30,662.39
12년08월10일,766.60,800.10,657.86
12년08월13일,770.80,806.06,657.98
12년08월14일,777.83,811.34,664.77
12년08월15일,777.61,827.13,671.17
12년08월16일,790.09,830.36,679.06
12년08월17일,791.32,810.42,684.27
12년08월20일,,810.49,684.11
12년08월21일,797.14,818.78,690.51
12년08월22일,794.89,818.54,692.81
12년08월23일,807.14,819.98,686.37
12년08월24일,793.34,807.92,683.88
12년08월27일,797.37,800.51,680.78
12년08월28일,785.85,804.14,688.07
12년08월29일,783.17,804.98,683.03
12년08월30일,786.31,803.50,674.90
12년08월31일,787.37,817.63,688.46
12년09월03일,797.65,826.12,
12년09월04일,806.50,812.84,678.43
12년09월05일,794.76,805.08,678.86
12년09월06일,800.21,810.21,681.99
12년09월07일,798.15,815.35,688.10
12년09월10일,802.73,816.38,686.47
12년09월11일,802.94,819.20,689.79
12년09월12일,809.27,823.69,689.08
12년09월13일,805.34,828.08,696.40
12년09월14일,818.69,827.56,702.28
12년09월17일,808.74,801.90,680.90
12년09월18일,783.80,785.69,668.29
12년09월19일,778.88,760.60,646.64
12년09월20일,742.27,773.12,645.52
12년09월21일,760.87,783.66,653.33
12년09월24일,761.62,773.16,647.27
12년09월25일,764.99,777.95,643.56
12년09월26일,757.34,774.23,633.09
12년09월27일,761.94,789.57,647.46
12년09월28일,777.89,790.76,648.64
12년10월01일,769.37,789.36,650.68
12년10월02일,767.13,780.99,643.23
12년10월03일,757.96,757.19,616.98
12년10월04일,744.18,787.92,641.86
12년10월05일,763.98,784.43,629.39
12년10월08일,752.55,781.13,624.02
12년10월09일,761.77,800.35,645.80
12년10월10일,772.39,798.66,637.43
12년10월11일,779.10,810.99,645.30
12년10월12일,780.85,804.15,644.47
12년10월15일,774.21,809.29,641.91
12년10월16일,780.71,804.91,644.17
12년10월17일,780.13,788.41,641.48
12년10월18일,774.27,781.36,640.13
12년10월19일,765.86,765.37,625.76
12년10월22일,752.09,760.85,616.87
12년10월23일,744.52,752.44,602.44
12년10월24일,739.10,747.76,594.40
12년10월25일,741.15,753.16,597.37
12년10월26일,,758.93,597.72
12년10월29일,733.97,754.79,589.96
12년10월30일,736.53,751.90,590.60
12년10월31일,735.73,748.05,593.48
12년11월01일,732.69,742.02,597.42
12년11월02일,727.54,725.14,582.28
12년11월05일,709.76,739.41,587.86
12년11월06일,721.89,762.68,609.14
12년11월07일,743.46,733.36,579.72
12년11월08일,716.25,733.35,581.82
12년11월09일,717.39,748.81,589.12
12년11월12일,729.42,747.51,586.45
12년11월13일,,741.14,584.50
12년11월14일,726.18,751.69,591.97
12년11월15일,733.96,758.99,584.39
12년11월16일,732.94,744.70,592.41
12년11월19일,742.78,765.32,611.71
12년11월20일,748.66,750.85,593.06
12년11월21일,739.37,755.17,595.23
12년11월22일,740.87,753.20,
12년11월23일,741.42,759.49,601.97
12년11월26일,747.57,757.89,599.50
12년11월27일,744.22,749.74,594.91
12년11월28일,737.94,746.74,589.76
12년11월29일,732.13,756.16,601.26
12년11월30일,743.53,758.88,606.60
12년12월03일,738.83,755.72,606.99
12년12월04일,735.28,748.57,603.14
12년12월05일,732.55,741.69,599.02
12년12월06일,722.14,728.75,587.33
12년12월07일,712.88,728.81,585.19
12년12월10일,712.20,730.86,582.61
12년12월11일,707.72,733.31,582.45
12년12월12일,710.47,741.98,587.96
12년12월13일,714.90,730.12,581.13
12년12월14일,708.86,,
12년12월17일,715.05,727.08,589.01
12년12월18일,713.85,734.50,593.39
12년12월19일,717.43,744.76,604.05
12년12월20일,718.51,742.91,607.61
12년12월21일,720.93,735.72,598.59
12년12월24일,717.41,735.94,599.37
12년12월26일,722.01,750.88,615.06
12년12월27일,729.98,748.35,613.74
12년12월28일,728.49,746.23,612.53
12년12월31일,726.33,,
13년01월02일,724.98,757.72,627.36
13년01월03일,721.39,750.99,622.27
13년01월04일,719.04,744.80,622.88
13년01월07일,713.88,745.61,623.73
13년01월08일,717.63,748.73,623.05
13년01월09일,722.24,747.39,622.60
13년01월10일,722.10,747.48,626.76
13년01월11일,,738.37,624.38
13년01월14일,710.58,743.47,625.59
13년01월15일,713.70,732.70,619.64
13년01월16일,707.58,734.27,625.60
13년01월17일,709.13,739.97,636.00
13년01월18일,712.26,744.74,636.04
13년01월21일,717.09,742.06,
13년01월22일,719.13,749.54,641.66
13년01월23일,723.66,755.19,637.56
13년01월24일,725.61,759.12,642.99
13년01월25일,733.37,761.26,644.33
13년01월28일,733.88,765.03,650.15
13년01월29일,739.98,778.66,664.34
13년01월30일,750.17,786.31,670.24
13년01월31일,754.56,786.90,663.91
13년02월01일,756.55,799.70,669.63
13년02월04일,767.65,794.66,661.09
13년02월05일,757.44,798.13,661.95
13년02월06일,762.88,797.95,660.48
13년02월07일,769.49,802.91,656.29
13년02월08일,771.76,814.65,655.83
13년02월11일,,809.38,664.81
13년02월12일,,816.37,670.86
13년02월13일,781.98,817.08,667.66
13년02월14일,774.08,806.34,664.95
13년02월15일,771.64,802.75,654.02
13년02월18일,767.18,796.64,
13년02월19일,762.59,800.25,658.20
13년02월20일,763.51,786.30,642.51
13년02월21일,744.29,769.65,629.39
13년02월22일,746.87,778.03,635.04
13년02월25일,750.51,782.01,636.25
13년02월26일,744.15,770.90,633.55
13년02월27일,741.96,765.57,634.79
13년02월28일,728.86,,
13년03월01일,721.14,753.71,619.08
13년03월04일,713.24,749.17,613.27
13년03월05일,725.33,766.18,623.46
13년03월06일,730.48,759.33,618.28
13년03월07일,723.90,757.57,624.05
13년03월08일,728.16,757.48,628.33
13년03월11일,729.95,755.88,631.34
13년03월12일,728.75,757.48,639.28
13년03월13일,726.49,747.42,637.23
13년03월14일,721.86,755.34,642.20
13년03월15일,730.27,763.29,649.51
13년03월18일,733.30,764.51,654.41
13년03월19일,742.29,753.44,646.22
13년03월20일,731.68,759.20,649.14
13년03월21일,738.67,755.40,649.83
13년03월22일,731.07,755.86,657.92
13년03월25일,738.26,760.12,666.24
13년03월26일,735.79,765.25,674.14
13년03월27일,740.27,764.38,673.02
13년03월28일,747.00,767.58,678.35
13년04월01일,750.20,777.28,679.25
13년04월02일,760.65,776.64,681.92
13년04월03일,755.66,749.71,661.09
13년04월04일,741.08,749.53,657.34
13년04월05일,736.48,735.98,655.26
13년04월08일,731.12,741.97,661.86
13년04월09일,737.89,760.58,674.45
13년04월10일,743.08,757.83,677.96
13년04월11일,737.74,746.55,669.51
13년04월12일,721.78,732.21,648.28
13년04월15일,706.33,714.22,631.13
13년04월16일,691.93,706.79,627.63
13년04월17일,690.84,687.95,610.41
13년04월18일,678.43,695.41,615.44
13년04월19일,692.25,703.26,621.11
13년04월22일,691.64,706.27,624.45
13년04월23일,692.56,707.72,629.20
13년04월24일,701.71,716.78,644.21
13년04월25일,705.23,727.97,659.19
13년04월26일,708.13,722.77,651.59
13년04월29일,705.42,724.26,659.30
13년04월30일,705.90,713.50,651.40
13년05월01일,,696.63,634.46
13년05월02일,678.51,713.03,651.61
13년05월03일,690.45,720.68,661.33
13년05월06일,705.39,,
13년05월07일,702.77,,
13년05월08일,699.74,717.98,664.86
13년05월09일,692.70,714.73,659.45
13년05월10일,693.49,710.44,656.64
13년05월13일,695.60,713.08,660.03
13년05월14일,701.07,719.30,660.48
13년05월15일,692.50,723.48,658.03
13년05월16일,701.00,727.06,666.54
13년05월17일,706.47,732.94,672.57
13년05월20일,711.82,734.53,677.82
