■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2022-07-27,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2022   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,범죄도시 2,2022-05-18,"131,240,536,100",22.5%,"12,687,958","2,521","355,261",한국,한국,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠"
2,탑건: 매버릭,2022-06-22,"70,990,795,197",12.2%,"6,641,668","1,975","197,571",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
3,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"62,648,774,870",10.7%,"5,884,595","2,691","211,097",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,쥬라기 월드: 도미니언,2022-06-01,"29,237,126,310",5.0%,"2,837,415","2,218","86,427",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,마녀(魔女) Part2. The Other One,2022-06-15,"28,901,379,670",4.9%,"2,803,037","1,796","94,830",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
6,토르: 러브 앤 썬더,2022-07-06,"29,330,902,298",5.0%,"2,699,385","2,143","106,910",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,스파이더맨: 노 웨이 홈,2021-12-15,"19,496,498,450",3.3%,"1,991,050","2,162","131,941",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
8,헤어질 결심,2022-06-29,"16,061,785,023",2.8%,"1,555,885","1,374","65,105",한국,한국,(주)씨제이이엔엠
9,해적: 도깨비 깃발,2022-01-26,"12,523,963,990",2.1%,"1,339,242","1,708","117,320",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
10,브로커,2022-06-08,"12,578,768,030",2.2%,"1,260,218","1,594","66,132",한국,한국,(주)씨제이이엔엠
11,신비한 동물들과 덤블도어의 비밀,2022-04-13,"12,305,212,580",2.1%,"1,195,443","2,207","106,090",미국,미국,워너브러더스 코리아(주)
