"","hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"13938","Resort Hotel",0,6,2016,"April",17,20,0,2,1,0,0,"BB","PRT","Complementary","TA/TO",1,0,1,"E","E",0,"No Deposit","5","NULL",0,"Transient",0,1,0,"Check-Out","2016-04-22"
"14682","Resort Hotel",1,202,2015,"July",30,22,2,5,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","156","NULL",0,"Contract",90.95,0,0,"Canceled","2015-01-01"
"14778","Resort Hotel",1,187,2015,"August",32,4,0,5,2,0,0,"HB","PRT","Online TA","TA/TO",1,1,0,"E","E",0,"No Deposit","240","NULL",0,"Transient",66,0,2,"Canceled","2015-01-29"
"14818","Resort Hotel",1,202,2015,"September",36,1,2,8,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","156","NULL",0,"Contract",55.68,0,1,"Canceled","2015-02-11"
"14824","Resort Hotel",1,173,2015,"August",34,16,2,5,2,0,0,"BB","PRT","Direct","Direct",1,1,0,"D","D",0,"No Deposit","250","NULL",0,"Transient",130.9,0,0,"Canceled","2015-02-24"
"14827","Resort Hotel",1,137,2015,"July",29,13,2,5,2,0,0,"BB","PRT","Direct","Direct",1,1,0,"A","A",0,"No Deposit","250","NULL",0,"Transient",8,0,0,"Canceled","2015-02-26"
"14855","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14856","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14857","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14858","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14859","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14860","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14861","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14862","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
