"","is_prt","country","value","continent"
"1","NOT PRT","AGO",18,"Africa"
"2","NOT PRT","ARE",1,"Asia"
"3","NOT PRT","ARG",1,"America"
"4","NOT PRT","AUS",2,"Asia"
"5","NOT PRT","AUT",11,"Europe"
"6","NOT PRT","BEL",17,"Europe"
"7","NOT PRT","BRA",14,"America"
"8","NOT PRT","CHE",3,"Europe"
"9","NOT PRT","CHN",13,"Asia"
"10","NOT PRT","DEU",25,"Europe"
"11","NOT PRT","DNK",1,"Europe"
"12","NOT PRT","DZA",2,"Africa"
"13","NOT PRT","ESP",90,"Europe"
"14","NOT PRT","FIN",2,"Europe"
"15","NOT PRT","FRA",78,"Europe"
"16","NOT PRT","GBR",107,"Europe"
"17","NOT PRT","GRC",4,"Europe"
"18","NOT PRT","IRL",31,"Europe"
"19","NOT PRT","ISL",1,"Europe"
"20","NOT PRT","ISR",3,"Asia"
"21","NOT PRT","ITA",40,"Europe"
"22","NOT PRT","JPN",3,"Asia"
"23","NOT PRT","KOR",1,"Asia"
"24","NOT PRT","LBN",1,"Asia"
"25","NOT PRT","LUX",4,"Europe"
"26","NOT PRT","MAR",2,"Africa"
"27","NOT PRT","MOZ",1,"Africa"
"28","NOT PRT","NGA",1,"Africa"
"29","NOT PRT","NLD",20,"Europe"
"30","NOT PRT","NOR",2,"Europe"
"31","NOT PRT","PER",1,"America"
"32","NOT PRT","POL",5,"Europe"
"33","NOT PRT","PRI",6,"America"
"34","PRT","PRT",3250,"Europe"
"35","NOT PRT","RUS",3,"Europe"
"36","NOT PRT","SVN",2,"Europe"
"37","NOT PRT","SWE",10,"Europe"
"38","NOT PRT","TUN",1,"Africa"
"39","NOT PRT","TUR",9,"Asia"
"40","NOT PRT","USA",19,"America"
"41","NOT PRT","ZAF",1,"Africa"
